id,age,income,children,gender,region,married,car,savings_acct,current_acct,mortgage,pep
ID12189,30,15848.7,0,MALE,SUBURBAN,YES,YES,YES,NO,YES,NO
ID12190,54,31095.6,2,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,YES
ID12191,37,24814.5,1,MALE,TOWN,YES,YES,NO,YES,YES,YES
ID12192,28,25429.3,2,FEMALE,INNER_CITY,NO,NO,YES,YES,YES,NO
ID12193,53,34866.5,0,FEMALE,RURAL,NO,NO,NO,YES,NO,YES
ID12194,61,42579.1,2,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12195,61,41127.4,0,FEMALE,INNER_CITY,YES,YES,YES,NO,NO,NO
ID12196,18,9990.11,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12197,22,7948.62,1,MALE,INNER_CITY,YES,NO,NO,NO,YES,NO
ID12198,34,30870.8,2,MALE,TOWN,YES,YES,YES,YES,YES,YES
ID12199,35,12125.8,2,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,NO
ID12200,18,15348.9,0,FEMALE,RURAL,YES,YES,NO,YES,NO,NO
ID12201,54,26707.9,1,MALE,INNER_CITY,YES,NO,YES,YES,YES,YES
ID12202,27,11604.4,2,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12203,42,15499.9,0,MALE,INNER_CITY,YES,YES,NO,YES,YES,YES
ID12204,43,33088.5,0,MALE,TOWN,NO,NO,YES,YES,YES,NO
ID12205,64,34513.6,1,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,YES
ID12206,43,32395.5,3,MALE,TOWN,YES,YES,YES,YES,NO,NO
ID12207,49,46633,0,MALE,RURAL,YES,YES,YES,NO,NO,NO
ID12208,23,13039.9,0,MALE,INNER_CITY,YES,NO,NO,YES,NO,NO
ID12209,23,12681.9,0,MALE,INNER_CITY,NO,NO,YES,YES,NO,YES
ID12210,30,24031.5,2,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO
ID12211,36,37330.5,2,MALE,TOWN,NO,NO,YES,YES,NO,YES
ID12212,34,25333.2,3,MALE,INNER_CITY,YES,YES,NO,NO,YES,NO
ID12213,51,37094.2,0,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,NO
ID12214,36,33630.6,2,MALE,TOWN,NO,YES,YES,YES,NO,YES
ID12215,56,43228.2,1,MALE,INNER_CITY,YES,YES,YES,YES,NO,YES
ID12216,54,47796.8,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12217,56,21730.3,2,FEMALE,TOWN,YES,NO,YES,NO,NO,NO
ID12218,26,10044.1,3,MALE,INNER_CITY,YES,NO,YES,YES,YES,NO
ID12219,39,17270.1,0,MALE,TOWN,NO,YES,NO,NO,NO,YES
ID12220,64,45765,3,FEMALE,RURAL,YES,YES,YES,YES,NO,YES
ID12221,46,29525.5,2,MALE,RURAL,NO,NO,YES,NO,YES,NO
ID12222,62,54863.8,1,FEMALE,RURAL,YES,YES,YES,YES,NO,YES
ID12223,36,20799,1,FEMALE,TOWN,YES,NO,YES,NO,YES,YES
ID12224,35,33028.3,1,FEMALE,RURAL,NO,NO,YES,YES,NO,YES
ID12225,47,45031.9,3,MALE,RURAL,NO,YES,YES,NO,NO,YES
ID12226,47,39010.8,2,MALE,INNER_CITY,YES,NO,NO,YES,NO,YES
ID12227,37,25257.7,0,FEMALE,TOWN,YES,YES,YES,YES,NO,NO
ID12228,48,42603.9,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12229,41,14092.7,3,MALE,TOWN,YES,YES,YES,YES,NO,NO
ID12230,27,21350.3,0,FEMALE,RURAL,NO,YES,YES,YES,NO,YES
ID12231,43,23246.4,2,MALE,INNER_CITY,NO,NO,NO,YES,NO,NO
ID12232,61,41609.5,3,MALE,RURAL,YES,NO,YES,YES,YES,NO
ID12233,52,16716.1,2,FEMALE,SUBURBAN,NO,YES,YES,YES,NO,NO
ID12234,64,36436.4,0,FEMALE,SUBURBAN,YES,YES,NO,YES,NO,NO
ID12235,66,59503.8,2,FEMALE,TOWN,YES,YES,YES,YES,YES,YES
ID12236,53,31334.8,1,FEMALE,TOWN,YES,YES,YES,YES,NO,YES
ID12237,20,14048.9,2,FEMALE,INNER_CITY,YES,YES,NO,YES,YES,NO
ID12238,57,39205.3,0,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES
ID12239,65,42173.9,0,FEMALE,RURAL,YES,NO,YES,YES,NO,NO
ID12240,64,55263,1,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES
ID12241,52,37095.2,3,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12242,47,22791.4,0,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO
ID12243,28,17240.6,1,FEMALE,TOWN,YES,YES,NO,NO,YES,NO
ID12244,64,48974.8,0,MALE,TOWN,YES,YES,YES,YES,YES,NO
ID12245,25,18923,1,MALE,INNER_CITY,YES,NO,YES,YES,NO,YES
ID12246,58,51204.2,0,MALE,SUBURBAN,YES,NO,YES,NO,YES,YES
ID12247,34,20236.2,2,MALE,TOWN,YES,YES,NO,YES,NO,NO
ID12248,20,18860.3,2,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,NO
ID12249,63,25732.5,0,MALE,RURAL,YES,YES,YES,NO,NO,NO
ID12250,30,28240.4,3,FEMALE,SUBURBAN,YES,YES,YES,YES,NO,NO
ID12251,53,28193.6,1,MALE,RURAL,YES,YES,YES,YES,NO,YES
ID12252,43,36432.8,2,MALE,TOWN,NO,YES,NO,YES,NO,YES
ID12253,63,54618.8,2,MALE,TOWN,YES,NO,YES,NO,YES,YES
ID12254,33,24760.8,1,MALE,INNER_CITY,YES,NO,YES,YES,YES,YES
ID12255,41,23356.1,2,MALE,RURAL,NO,YES,NO,NO,NO,NO
ID12256,20,8143.75,2,FEMALE,SUBURBAN,YES,NO,YES,YES,NO,YES
ID12257,50,26462.5,0,MALE,TOWN,YES,YES,YES,YES,NO,NO
ID12258,24,20467.3,2,MALE,RURAL,YES,YES,YES,YES,NO,NO
ID12259,60,21506.2,0,FEMALE,TOWN,YES,NO,NO,YES,NO,YES
ID12260,44,15315.3,1,FEMALE,TOWN,YES,NO,YES,YES,NO,YES
ID12261,23,18875.7,2,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12262,40,12977.2,0,FEMALE,INNER_CITY,YES,NO,NO,NO,NO,NO
ID12263,49,20708.5,3,FEMALE,TOWN,NO,NO,NO,YES,NO,NO
ID12264,21,7549.38,1,FEMALE,TOWN,NO,YES,NO,YES,NO,NO
ID12265,40,24904,0,FEMALE,INNER_CITY,YES,NO,NO,NO,NO,NO
ID12266,26,24071.8,1,MALE,RURAL,YES,NO,NO,YES,YES,YES
ID12267,20,9589.91,1,MALE,TOWN,NO,NO,YES,YES,YES,NO
ID12268,24,8562.86,1,MALE,INNER_CITY,NO,NO,NO,NO,YES,NO
ID12269,37,26707.5,0,FEMALE,TOWN,NO,YES,YES,YES,NO,NO
ID12270,56,34020.5,0,MALE,INNER_CITY,YES,NO,NO,YES,NO,NO
ID12271,52,49175.7,0,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12272,22,19726.3,2,MALE,INNER_CITY,YES,NO,NO,YES,NO,NO
ID12273,35,24346.6,3,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12274,34,26999.4,1,MALE,RURAL,YES,YES,YES,YES,NO,YES
ID12275,67,41558.1,2,FEMALE,TOWN,YES,NO,YES,YES,NO,YES
ID12276,58,56340.3,0,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES
ID12277,40,37558.5,0,MALE,TOWN,YES,YES,YES,YES,NO,NO
ID12278,41,30099.3,0,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,YES
ID12279,43,15254.8,0,MALE,INNER_CITY,YES,NO,NO,NO,NO,YES
ID12280,63,36086.1,2,MALE,INNER_CITY,YES,NO,NO,YES,NO,YES
ID12281,22,17655,1,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,YES
ID12282,60,56658.9,0,MALE,RURAL,NO,NO,YES,YES,NO,YES
ID12283,65,37706.5,0,FEMALE,INNER_CITY,NO,YES,YES,YES,YES,NO
ID12284,48,18516,2,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO
ID12285,38,29622,0,FEMALE,INNER_CITY,NO,YES,YES,NO,YES,NO
ID12286,49,32669.9,1,MALE,RURAL,YES,YES,YES,YES,YES,YES
ID12287,20,18275.5,0,FEMALE,INNER_CITY,YES,NO,NO,NO,YES,YES
ID12288,48,34410,1,FEMALE,TOWN,YES,NO,NO,YES,NO,YES
ID12289,38,34866.9,2,MALE,INNER_CITY,YES,YES,NO,YES,YES,NO
ID12290,41,21796.6,0,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO
ID12291,67,63130.1,2,FEMALE,SUBURBAN,YES,YES,YES,YES,NO,YES
ID12292,39,14996.4,1,MALE,INNER_CITY,YES,YES,YES,NO,NO,NO
ID12293,64,49024.9,3,FEMALE,RURAL,YES,NO,YES,YES,NO,YES
ID12294,41,16249.8,0,MALE,INNER_CITY,YES,YES,NO,YES,YES,YES
ID12295,55,36192.1,2,MALE,SUBURBAN,YES,YES,NO,YES,NO,YES
ID12296,52,17839.9,1,MALE,INNER_CITY,YES,NO,YES,NO,YES,YES
ID12297,30,18802.4,0,FEMALE,INNER_CITY,NO,NO,NO,YES,YES,YES
ID12298,52,48720.3,2,MALE,INNER_CITY,YES,YES,YES,YES,NO,YES
ID12299,26,14585.9,2,MALE,INNER_CITY,NO,NO,NO,YES,YES,NO
ID12300,26,20819,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,YES
ID12301,46,26077.8,1,MALE,TOWN,YES,YES,YES,YES,NO,YES
ID12302,46,41627.1,0,FEMALE,TOWN,YES,NO,YES,YES,YES,NO
ID12303,52,16977.3,0,MALE,INNER_CITY,YES,NO,NO,YES,NO,NO
ID12304,37,19012.8,3,MALE,INNER_CITY,NO,YES,NO,YES,NO,NO
ID12305,22,12764.8,1,MALE,INNER_CITY,YES,NO,YES,YES,YES,YES
ID12306,18,14388.6,0,MALE,INNER_CITY,NO,YES,NO,YES,YES,YES
ID12307,63,59409.1,0,MALE,INNER_CITY,NO,YES,YES,YES,NO,YES
ID12308,25,14960.2,0,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,NO
ID12309,67,39666.6,0,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12310,27,20771.9,0,MALE,INNER_CITY,NO,NO,YES,NO,NO,YES
ID12311,61,24474.1,0,MALE,INNER_CITY,NO,YES,NO,NO,NO,YES
ID12312,58,33123.7,1,MALE,TOWN,YES,YES,YES,YES,NO,YES
ID12313,22,14433.4,0,MALE,INNER_CITY,YES,YES,YES,YES,NO,YES
ID12314,28,13175.5,1,MALE,TOWN,NO,NO,NO,YES,NO,YES
ID12315,23,9824.37,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12316,27,17610.3,0,MALE,SUBURBAN,YES,NO,YES,YES,NO,NO
ID12317,27,15156.2,0,FEMALE,SUBURBAN,YES,YES,NO,YES,NO,NO
ID12318,40,31774.1,3,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO
ID12319,39,31693.5,0,MALE,TOWN,NO,YES,YES,NO,NO,YES
ID12320,35,28598.7,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12321,37,26261.7,2,FEMALE,INNER_CITY,NO,YES,NO,NO,NO,NO
ID12322,47,42124.1,2,MALE,INNER_CITY,YES,NO,YES,YES,NO,YES
ID12323,42,39308.7,1,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,YES
ID12324,67,43530,0,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,NO
ID12325,57,49874.4,3,MALE,RURAL,YES,NO,YES,YES,NO,YES
ID12326,47,27434.8,0,FEMALE,RURAL,NO,YES,YES,YES,NO,YES
ID12327,67,50474.6,2,MALE,INNER_CITY,YES,YES,YES,YES,NO,YES
ID12328,56,24888.2,0,MALE,TOWN,NO,NO,YES,YES,NO,YES
ID12329,37,28021.6,0,MALE,RURAL,NO,YES,NO,YES,YES,YES
ID12330,27,12279.5,0,MALE,INNER_CITY,NO,YES,NO,NO,NO,YES
ID12331,59,30189.4,0,FEMALE,INNER_CITY,YES,YES,NO,YES,YES,YES
ID12332,31,28969.4,1,MALE,INNER_CITY,NO,NO,NO,YES,YES,NO
ID12333,31,14058.5,0,MALE,SUBURBAN,YES,NO,NO,YES,YES,YES
ID12334,32,30404.3,0,FEMALE,TOWN,YES,YES,YES,YES,NO,NO
ID12335,57,41438.2,3,FEMALE,RURAL,NO,NO,YES,NO,NO,NO
ID12336,49,16711.3,1,FEMALE,INNER_CITY,NO,NO,YES,YES,YES,YES
ID12337,65,52255.9,2,MALE,TOWN,NO,YES,YES,YES,NO,YES
ID12338,22,17866.9,2,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,NO
ID12339,26,18067.5,2,FEMALE,RURAL,YES,NO,YES,NO,NO,NO
ID12340,23,12823.7,0,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12341,26,11299.3,2,FEMALE,RURAL,YES,YES,NO,NO,NO,NO
ID12342,59,56031.1,0,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,YES
ID12343,67,35263.5,1,MALE,INNER_CITY,YES,YES,YES,YES,NO,YES
ID12344,34,19968.1,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12345,50,27825.5,2,MALE,RURAL,YES,YES,YES,NO,NO,NO
ID12346,46,37773.9,0,MALE,SUBURBAN,NO,YES,YES,YES,YES,NO
ID12347,23,7606.25,3,FEMALE,INNER_CITY,NO,YES,NO,NO,NO,NO
ID12348,26,21384.4,0,MALE,RURAL,YES,NO,NO,YES,NO,NO
ID12349,40,20347,3,MALE,TOWN,YES,NO,YES,YES,NO,NO
ID12350,36,21332.3,3,MALE,TOWN,YES,YES,NO,YES,NO,NO
ID12351,65,57671.7,0,MALE,INNER_CITY,NO,NO,YES,YES,YES,NO
ID12352,45,36057.8,1,FEMALE,TOWN,YES,YES,YES,YES,YES,YES
ID12353,23,14290.5,2,MALE,INNER_CITY,YES,NO,NO,YES,YES,NO
ID12354,42,17882.9,1,FEMALE,TOWN,YES,NO,NO,NO,NO,YES
ID12355,21,10629.1,3,FEMALE,RURAL,NO,NO,YES,YES,YES,NO
ID12356,62,24262.8,0,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,YES
ID12357,49,26097.9,2,FEMALE,SUBURBAN,NO,NO,YES,YES,NO,NO
ID12358,28,23371,2,FEMALE,TOWN,YES,NO,NO,YES,YES,NO
ID12359,38,21495.6,3,FEMALE,TOWN,NO,NO,NO,YES,YES,NO
ID12360,36,12166.9,0,MALE,TOWN,NO,NO,NO,NO,NO,NO
ID12361,22,17180.2,0,MALE,SUBURBAN,YES,NO,YES,YES,NO,NO
ID12362,40,28882.3,1,FEMALE,TOWN,YES,NO,YES,YES,YES,YES
ID12363,40,21612.2,0,FEMALE,TOWN,YES,NO,NO,YES,NO,NO
ID12364,60,46358.4,0,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO
ID12365,23,19166,0,MALE,INNER_CITY,NO,YES,YES,NO,NO,YES
ID12366,21,17921.8,1,MALE,INNER_CITY,YES,YES,NO,NO,NO,YES
ID12367,58,33229,0,MALE,TOWN,NO,YES,YES,YES,NO,YES
ID12368,48,30396.1,0,FEMALE,SUBURBAN,NO,NO,YES,YES,NO,YES
ID12369,63,34625.2,0,FEMALE,TOWN,YES,YES,NO,YES,NO,NO
ID12370,20,16672.8,3,MALE,TOWN,NO,YES,NO,YES,YES,NO
ID12371,67,60747.5,2,FEMALE,SUBURBAN,NO,NO,YES,YES,YES,YES
ID12372,62,56394.3,0,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,YES
ID12373,36,13236.4,0,MALE,TOWN,YES,NO,YES,YES,NO,NO
ID12374,31,28409.4,1,MALE,INNER_CITY,YES,YES,NO,YES,NO,YES
ID12375,42,27056.5,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
ID12376,18,9362.58,0,MALE,RURAL,YES,YES,NO,YES,YES,YES
ID12377,46,28702.7,1,FEMALE,SUBURBAN,NO,NO,YES,YES,YES,YES
ID12378,25,22366.1,1,MALE,TOWN,YES,YES,YES,YES,NO,YES
ID12379,65,24477.5,0,FEMALE,RURAL,NO,NO,YES,NO,YES,NO
ID12380,40,36972.4,1,MALE,TOWN,YES,NO,NO,YES,YES,YES
ID12381,32,22327.8,1,MALE,INNER_CITY,YES,NO,NO,NO,NO,YES
ID12382,18,15610.2,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12383,64,54314.5,1,MALE,INNER_CITY,YES,YES,YES,NO,NO,YES
ID12384,43,39175.8,3,FEMALE,INNER_CITY,YES,NO,YES,YES,YES,NO
ID12385,22,13739,3,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12386,25,9485.84,0,MALE,TOWN,YES,NO,NO,NO,NO,NO
ID12387,39,24675.7,1,MALE,INNER_CITY,YES,YES,YES,YES,YES,YES
ID12388,58,28253.6,3,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO
ID12389,33,14136.5,1,MALE,INNER_CITY,YES,NO,YES,NO,NO,NO
ID12390,52,37162.1,1,FEMALE,RURAL,YES,YES,YES,YES,NO,YES
ID12391,23,13519.2,0,MALE,INNER_CITY,NO,NO,YES,YES,NO,YES
ID12392,44,39253.6,0,FEMALE,INNER_CITY,NO,YES,YES,NO,NO,YES
ID12393,51,46323.8,2,MALE,RURAL,YES,YES,YES,YES,YES,YES
ID12394,26,20950.7,0,FEMALE,TOWN,YES,NO,YES,YES,NO,NO
ID12395,42,22495.7,0,MALE,TOWN,YES,NO,YES,NO,YES,NO
ID12396,34,32548.9,0,MALE,TOWN,YES,YES,YES,YES,YES,NO
ID12397,54,24583.4,2,FEMALE,RURAL,NO,YES,YES,YES,YES,NO
ID12398,18,8639.24,2,MALE,RURAL,YES,NO,NO,NO,NO,NO
ID12399,47,17139.5,2,FEMALE,INNER_CITY,NO,YES,NO,YES,NO,NO
ID12400,24,13667.7,0,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO
ID12401,19,8162.42,1,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO
ID12402,37,15349.6,0,FEMALE,TOWN,YES,NO,YES,NO,NO,NO
ID12403,45,29231.4,0,FEMALE,TOWN,YES,NO,YES,NO,NO,NO
ID12404,49,41462.3,3,MALE,RURAL,YES,NO,YES,YES,YES,NO
ID12405,67,57398.1,3,FEMALE,RURAL,NO,NO,YES,YES,NO,YES
ID12406,35,11520.8,0,FEMALE,RURAL,YES,NO,NO,YES,NO,NO
ID12407,63,52117.3,2,MALE,INNER_CITY,NO,YES,YES,YES,NO,YES
ID12408,38,26281.4,0,MALE,RURAL,NO,YES,YES,YES,NO,YES
ID12409,48,25683.4,2,MALE,TOWN,NO,YES,YES,YES,NO,NO
ID12410,28,11920.7,1,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,NO
ID12411,46,30658.7,0,MALE,TOWN,YES,NO,YES,YES,NO,NO
ID12412,66,36646.4,1,MALE,INNER_CITY,NO,NO,YES,YES,NO,YES
ID12413,61,30760.4,2,FEMALE,TOWN,NO,YES,NO,YES,NO,YES
ID12414,18,16109.9,2,FEMALE,RURAL,NO,YES,YES,YES,NO,NO
ID12415,54,18036.7,0,FEMALE,TOWN,YES,YES,YES,NO,NO,NO
ID12416,45,42628.3,0,MALE,RURAL,NO,YES,YES,YES,YES,NO
ID12417,60,22110.1,2,MALE,INNER_CITY,NO,YES,YES,YES,NO,NO
ID12418,45,37689.1,1,FEMALE,TOWN,NO,NO,YES,YES,YES,YES
ID12419,31,23171.8,2,FEMALE,INNER_CITY,NO,NO,YES,NO,NO,NO
ID12420,39,21951.3,0,MALE,SUBURBAN,NO,YES,YES,YES,YES,NO
